WRN 2026-06-25T18:58:11.438 ui.297306  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-25T18:58:35.212 ui.304095  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-25T18:58:35.212 ui.304095  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-25T18:58:35.212 ui.304095  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-25T18:58:35.212 ui.304095  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-25T18:58:35.212 ui.304095  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-25T19:02:22.339 ui.315050  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-25T19:02:22.339 ui.315050  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-25T19:02:22.339 ui.315050  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-25T19:02:22.339 ui.315050  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-25T19:02:22.339 ui.315050  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-25T19:02:29.908 ui.315229  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-25T19:02:29.908 ui.315229  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-25T19:02:29.908 ui.315229  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-25T19:02:29.908 ui.315229  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-25T19:02:29.908 ui.315229  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-25T19:02:49.474 ui.315678  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-25T19:02:49.474 ui.315678  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-25T19:02:49.474 ui.315678  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-25T19:02:49.474 ui.315678  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-25T19:02:49.474 ui.315678  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-25T19:17:34.235 ui.342363  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-25T19:17:34.235 ui.342363  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-25T19:17:34.235 ui.342363  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-25T19:17:34.235 ui.342363  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-25T19:17:34.235 ui.342363  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-25T19:21:31.800 ui.349789  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-25T19:21:31.800 ui.349789  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-25T19:21:31.800 ui.349789  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-25T19:21:31.801 ui.349789  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-25T19:21:31.801 ui.349789  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
